Rank,Competitor,DOB,Nat,Pos,Venue,Date,World Athletics Event Ranking Score,Men 100,Men 100 Wind,Men 100 Score,Men LJ,Men LJ Wind,Men LJ Score,Men SP,Men SP Score,Men HJ,Men HJ Score,Men 400,Men 400 Score,Men 110h,Men 110h Wind,Men 110h Score,Men DT,Men DT Score,Men PV,Men PV Score,Men JT,Men JT Score,Men 1500,Men 1500 Score,Overall Score
1,Kevin MAYER,2/10/1992,FRA,1,"Stade Pierre Paul Bernard, Talence (FRA)",9/16/2018,1302,10.55,0.3,963,7.80,1.2,1010,16.00,851,2.05,850,48.42,889,13.75,-1.1,1007,50.54,882,5.45,1051,71.90,918,04:36.1,705.49,9126
1,Ashton EATON,1/21/1988,USA,1,"National Stadium, Beijing (CHN)",8/29/2015,1289,10.23,-0.4,1040,7.88,0,1030,14.52,760,2.01,813,45.00,1060,13.69,-0.2,1015,43.34,733,5.20,972,63.63,793,04:17.5,829.09,9045
1,Ashton EATON,1/21/1988,USA,1,"Hayward Field, Eugene, OR (USA)",6/23/2012,1288,10.21,0.4,1044,8.23,0.8,1120,14.20,741,2.05,850,46.70,973,13.70,-0.8,1014,42.81,722,5.30,1004,58.87,721,04:14.5,850.17,9039
1,Roman ŠEBRLE,11/26/1974,CZE,1,Götzis (AUT),5/27/2001,1286,10.64,0,942,8.11,1.9,1089,15.33,810,2.12,915,47.79,919,13.92,-0.2,985,47.92,827,4.80,849,70.16,892,04:22.0,798.60,9026
1,Damian WARNER,11/4/1989,CAN,1,"National Stadium, Tokyo (JPN)",8/5/2021,1285,10.12,0.2,1066,8.24,0.2,1123,14.80,777,2.02,822,47.48,934,13.46,-1,1045,48.67,843,4.90,880,63.44,790,04:31.1,738.03,9018
2,Damian WARNER,11/4/1989,CAN,1,"Mösle-Stadium, Götzis (AUT)",5/30/2021,1281,10.14,0.7,1062,8.28,1.2,1133,14.31,747,2.09,887,47.90,914,13.36,0.9,1059,48.43,838,4.80,849,59.46,730,04:25.2,776.98,8995
2,Tomáš DVOŘÁK,5/11/1972,CZE,1,"Commonwealth Stadium, Edmonton (CAN)",8/7/2001,1267,10.62,1.5,947,8.07,0.9,1079,16.57,886,2.00,803,47.74,922,13.80,-0.4,1000,45.51,777,5.00,910,68.53,867,04:35.1,711.78,8902
1,Roman ŠEBRLE,11/26/1974,CZE,1,"Olympic Stadium, Athina (GRE)",8/24/2004,1265,10.85,1.5,894,7.84,0.3,1020,16.36,873,2.12,915,48.36,892,14.05,1.5,968,48.72,844,5.00,910,70.52,897,04:40.0,680.73,8893
1,Ashton EATON,1/21/1988,USA,1,"Estádio Olímpico, Rio de Janeiro (BRA)",8/18/2016,1265,10.46,-0.1,985,7.94,1.7,1045,14.73,773,2.01,813,46.07,1005,13.80,0.7,1000,45.49,777,5.20,972,59.77,734,04:23.3,789.48,8893
2,Ashton EATON,1/21/1988,USA,1,"Olympic Stadium, London (GBR)",8/9/2012,1261,10.35,0.4,1011,8.03,0.8,1068,14.66,769,2.05,850,46.90,963,13.56,0.1,1032,42.53,716,5.20,972,61.96,767,04:33.6,721.71,8869
1,Garrett SCANTLING,5/19/1993,USA,1,"John McDonnell Field, Fayetteville, AR (USA)",5/7/2022,1261,10.68,0.9,933,7.68,2,980,16.12,859,2.04,840,48.38,891,13.59,1,1028,51.04,892,5.15,957,67.16,846,04:46.4,641.22,8867
2,Roman ŠEBRLE,11/26/1974,CZE,1,Götzis (AUT),5/30/2004,1257,10.92,0.5,878,7.86,3.3,1025,16.22,865,2.09,887,48.59,881,14.15,0.3,955,47.44,817,5.00,910,71.10,906,04:34.1,718.48,8842
2,Kevin MAYER,2/10/1992,FRA,2,"Estádio Olímpico, Rio de Janeiro (BRA)",8/18/2016,1256,10.81,-0.4,903,7.60,0.1,960,15.76,836,2.04,840,48.28,896,14.02,0.7,972,46.78,804,5.40,1035,65.04,814,04:25.5,774.98,8834
1,Bryan CLAY,1/3/1980,USA,1,"Eugene, OR (USA)",6/30/2008,1256,10.39,-0.4,1001,7.39,-1.6,908,15.17,800,2.08,878,48.41,889,13.75,1.9,1007,52.74,928,5.00,910,70.55,898,04:51.0,613.33,8832
3,Bryan CLAY,1/3/1980,USA,2,"Olympic Stadium, Athina (GRE)",8/24/2004,1254,10.44,2.2,989,7.96,0.2,1050,15.23,804,2.06,859,49.19,852,14.13,1.5,958,50.11,873,4.90,880,69.71,885,04:41.7,670.44,8820
2,Kevin MAYER,2/10/1992,FRA,1,"Hayward Field, Eugene, OR (USA)",7/24/2022,1253,10.62,0.8,947,7.54,1.1,945,14.98,788,2.05,850,49.40,842,13.92,1.1,985,49.44,859,5.40,1035,70.31,894,04:41.4,671.75,8816
3,Erki NOOL,6/25/1970,EST,2,"Commonwealth Stadium, Edmonton (CAN)",8/7/2001,1253,10.6,1.5,952,7.63,2,967,14.90,784,2.03,831,46.23,997,14.40,0,924,43.4,734,5.40,1035,67.01,844,04:29.6,747.86,8815
1,Ashton EATON,1/21/1988,USA,1,"Luzhniki Stadion, Moskva (RUS)",8/11/2013,1252,10.35,-0.5,1011,7.73,0.3,992,14.39,752,1.93,740,46.02,1007,13.72,0.4,1011,45,767,5.20,972,64.83,811,04:29.8,746.42,8809
1,Roman ŠEBRLE,11/26/1974,CZE,1,Götzis (AUT),6/1/2003,1252,10.78,-0.2,910,7.86,1.2,1025,15.41,815,2.12,915,47.83,917,13.96,0,980,43.42,734,4.90,880,69.22,877,04:28.6,754.12,8807
1,Roman ŠEBRLE,11/26/1974,CZE,1,Götzis (AUT),6/2/2002,1251,10.95,0.5,872,7.79,1.8,1007,15.50,820,2.12,915,48.35,892,13.89,1.6,989,48.02,829,5.00,910,68.97,874,04:38.2,692.43,8800
1,Roman ŠEBRLE,11/26/1974,CZE,1,"Olympiastadion, München (GER)",8/8/2002,1251,10.83,1.3,899,7.92,0.8,1040,15.41,815,2.12,915,48.48,886,14.04,0,969,46.88,806,5.10,941,68.51,867,04:42.9,662.40,8800
3,Damian WARNER,11/4/1989,CAN,1,"Mösle-Stadium, Götzis (AUT)",5/29/2022,1250,10.14,0.9,1062,7.93,-0.6,1043,14.92,785,2.03,831,47.92,913,13.48,1,1043,48.24,834,4.90,880,58.62,717,04:38.6,689.32,8797
2,Damian WARNER,11/4/1989,CAN,1,"Mösle-Stadium, Götzis (AUT)",5/27/2018,1250,10.31,0.6,1020,7.81,0.5,1012,14.83,779,2.03,831,47.72,923,13.56,0,1032,47.32,815,4.80,849,61.94,767,04:26.6,767.64,8795
2,Bryan CLAY,1/3/1980,USA,1,"National Stadium, Beijing (CHN)",8/22/2008,1249,10.44,0.3,989,7.78,0,1005,16.27,868,1.99,794,48.92,865,13.93,-0.5,984,53.79,950,5.00,910,70.97,904,05:06.6,522.88,8791
1,Trey HARDEE,2/7/1984,USA,1,"Olympiastadion, Berlin (GER)",8/20/2009,1249,10.45,0.2,987,7.83,1.9,1017,15.33,810,1.99,794,48.13,903,13.86,0.3,993,48.08,830,5.20,972,68.00,859,04:48.9,625.75,8790
2,Tom PAPPAS,9/6/1976,USA,1,"Palo Alto, CA (USA)",6/22/2003,1248,10.78,0.2,910,7.96,1.4,1050,16.28,869,2.17,963,48.22,899,14.13,1.7,958,45.84,784,5.20,972,60.77,749,04:48.1,630.54,8784
1,Kevin MAYER,2/10/1992,FRA,1,"Olympic Stadium, London (GBR)",8/12/2017,1246,10.7,-0.8,929,7.52,0,940,15.72,834,2.08,878,48.26,897,13.75,-0.1,1007,47.14,811,5.10,941,66.10,830,04:36.7,701.53,8768
3,Tom PAPPAS,9/6/1976,USA,1,"Stade de France, Paris-St-Denis (FRA)",8/27/2003,1243,10.8,-0.5,906,7.62,1.1,965,16.11,858,2.09,887,47.58,930,13.99,0,976,46.94,807,5.10,941,65.90,827,04:44.3,653.90,8750
3,Ashton EATON,1/21/1988,USA,1,"Hayward Field, Eugene, OR (USA)",7/3/2016,1243,10.34,1.8,1013,7.84,1.4,1020,14.04,731,2.00,803,46.30,993,13.60,2.1,1027,41.39,693,5.25,988,57.84,705,04:25.1,777.25,8750
1,Bryan CLAY,1/3/1980,USA,1,"Olympiastadion, Helsinki (FIN)",8/10/2005,1240,10.43,3.2,992,7.54,0.6,945,16.25,867,2.00,803,47.78,920,14.43,-2.6,920,53.68,947,4.90,880,72.00,920,05:03.8,538.71,8732
4,Tom PAPPAS,9/6/1976,USA,2,Götzis (AUT),5/30/2004,1240,10.74,0.5,919,7.45,1.1,922,15.89,844,2.15,944,48.81,870,13.90,0.3,987,48.73,844,5.20,972,64.48,805,04:49.0,625.02,8732
1,Ashton EATON,1/21/1988,USA,1,"Hayward Field, Eugene, OR (USA)",6/24/2011,1240,10.33,0.6,1016,7.80,3.1,1010,14.14,737,2.05,850,46.35,991,13.52,1.6,1037,41.58,697,5.05,926,56.19,681,04:24.1,784.29,8729
3,Kevin MAYER,2/10/1992,FRA,2,"National Stadium, Tokyo (JPN)",8/5/2021,1239,10.68,0.1,933,7.50,0.9,935,15.07,794,2.08,878,50.31,800,13.90,0.1,987,48.08,830,5.20,972,73.09,937,04:43.2,660.97,8726
2,Trey HARDEE,2/7/1984,USA,1,"Hayward Field, Eugene, OR (USA)",6/26/2015,1239,10.48,2,980,7.61,3.4,962,14.55,762,1.97,776,48.41,889,13.71,1.3,1012,52.05,913,5.35,1020,61.92,767,04:45.8,644.91,8725
5,Dmitriy KARPOV,7/23/1981,KAZ,3,"Olympic Stadium, Athina (GRE)",8/24/2004,1239,10.5,2.2,975,7.81,-0.9,1012,15.93,847,2.09,887,46.81,968,13.97,1.5,978,51.65,905,4.60,790,55.54,671,04:38.1,692.74,8725
4,Kyle GARLAND,5/28/2000,USA,2,"John McDonnell Field, Fayetteville, AR (USA)",5/7/2022,1238,10.63,0.9,945,7.86,1,1025,16.44,878,2.16,953,49.04,859,13.71,1,1012,46.16,791,4.85,865,59.63,732,04:43.2,660.72,8720
1,Damian WARNER,11/4/1989,CAN,1,"Mösle-Stadium, Götzis (AUT)",5/26/2019,1237,10.12,0.9,1066,7.67,0.4,977,15.34,811,2.00,803,47.38,939,13.64,-0.1,1022,47.23,813,4.60,790,63.67,793,04:37.4,697.32,8711
3,Roman ŠEBRLE,11/26/1974,CZE,1,"Stadionring, Ratingen (GER)",6/16/2002,1235,10.87,,890,7.76,,1000,15.55,824,2.10,896,48.26,897,14.04,,969,46.52,798,5.00,910,62.17,771,04:29.8,746.68,8701
5,Pierce LEPAGE,1/22/1996,CAN,2,"Hayward Field, Eugene, OR (USA)",7/24/2022,1235,10.39,0.8,1001,7.54,0.8,945,14.83,779,1.99,794,46.84,966,13.78,1.1,1003,53.26,939,5.00,910,57.52,701,04:42.8,663.45,8701
1,Roman ŠEBRLE,11/26/1974,CZE,1,Kladno (CZE),6/20/2007,1235,10.94,,874,7.84,1.4,1020,16.47,880,2.12,915,48.99,862,14.39,,925,47.66,822,4.80,849,68.87,872,04:40.4,678.03,8697
3,Damian WARNER,11/4/1989,CAN,2,"National Stadium, Beijing (CHN)",8/29/2015,1234,10.31,-0.4,1020,7.65,0.2,972,14.44,755,2.04,840,47.30,943,13.63,-0.2,1023,44.99,767,4.80,849,63.50,791,04:31.5,735.22,8695
2,Niklas KAUL,2/11/1998,GER,1,"Khalifa International Stadium, Doha (QAT)",10/4/2019,1234,11.27,0.3,801,7.19,0.6,859,15.10,796,2.02,822,48.48,886,14.64,0.7,894,49.2,854,5.00,910,79.05,1028,04:15.7,841.68,8691
2,Trey HARDEE,2/7/1984,USA,1,"Mösle-Stadium, Götzis (AUT)",5/29/2011,1233,10.44,-0.7,989,7.88,0.6,1030,15.63,828,2.00,803,48.12,903,13.73,0,1010,45.2,771,5.06,929,63.33,788,04:46.9,638.10,8689
1,Bryan CLAY,1/3/1980,USA,1,"Mösle-Stadium, Götzis (AUT)",5/28/2006,1231,10.42,-0.4,994,7.67,-1,977,15.56,824,2.06,859,48.87,867,13.74,1.3,1008,52.21,917,5.00,910,66.47,836,05:13.5,485.15,8677
2,Roman ŠEBRLE,11/26/1974,CZE,1,"Yanmar Stadium Nagai, Osaka (JPN)",9/1/2007,1231,11.04,-0.2,852,7.56,-0.1,950,15.92,846,2.12,915,48.80,871,14.33,-0.3,932,48.75,844,4.80,849,71.18,907,04:35.3,710.56,8676
