dob,name,subj_id,hundred_m,long_jump,shot_put,high_jump,four_hundred_m,hurdles,discus,pole_vault,javelin,fifteen_hundred_m,age,points,date,athlete_id
1992-02-10,Kevin MAYER,1151,10.55,7.8,16,2.05,48.42,13.75,50.54,5.45,71.9,276,26.598220396988363,9126,2018-09-16,478
1988-01-21,Ashton EATON,239,10.23,7.88,14.52,2.01,45,13.69,43.34,5.2,63.63,257,27.603011635865844,9045,2015-08-29,91
1988-01-21,Ashton EATON,239,10.21,8.23,14.2,2.05,46.7,13.7,42.81,5.3,58.87,254,24.421629021218344,9039,2012-06-23,91
1974-11-26,Roman ŠEBRLE,1823,10.64,8.11,15.33,2.12,47.79,13.92,47.92,4.8,70.16,262,26.49965776865161,9026,2001-05-27,778
1989-11-04,Damian WARNER,457,10.12,8.24,14.8,2.02,47.48,13.46,48.67,4.9,63.44,271,31.750855578370977,9018,2021-08-05,178
1989-11-04,Damian WARNER,457,10.14,8.28,14.31,2.09,47.9,13.36,48.43,4.8,59.46,265,31.567419575633128,8995,2021-05-30,178
1972-05-11,Tomáš DVOŘÁK,2144,10.62,8.07,16.57,2,47.74,13.8,45.51,5,68.53,275,29.240246406570844,8902,2001-08-07,912
1974-11-26,Roman ŠEBRLE,1823,10.85,7.84,16.36,2.12,48.36,14.05,48.72,5,70.52,280,29.744010951403148,8893,2004-08-24,778
1988-01-21,Ashton EATON,239,10.46,7.94,14.73,2.01,46.07,13.8,45.49,5.2,59.77,263,28.57494866529774,8893,2016-08-18,91
1988-01-21,Ashton EATON,239,10.35,8.03,14.66,2.05,46.9,13.56,42.53,5.2,61.96,273,24.550308008213552,8869,2012-08-09,91
1993-05-19,Garrett SCANTLING,701,10.68,7.68,16.12,2.04,48.38,13.59,51.04,5.15,67.16,286,28.966461327857633,8867,2022-05-07,282
1974-11-26,Roman ŠEBRLE,1823,10.92,7.86,16.22,2.09,48.59,14.15,47.44,5,71.1,274,29.508555783709788,8842,2004-05-30,778
1992-02-10,Kevin MAYER,1151,10.81,7.6,15.76,2.04,48.28,14.02,46.78,5.4,65.04,265,24.520191649555098,8834,2016-08-18,478
1980-01-03,Bryan CLAY,340,10.39,7.39,15.17,2.08,48.41,13.75,52.74,5,70.55,291,28.490075290896645,8832,2008-06-30,132
